144.957670 -37.807620  --> Census year: 2018 || Block ID: 28 || Property ID: 102059 || Base Property ID: 102059 || CLUE small area: Melbourne (CBD) ||  Trading Name: Rotary Club Of Melbourne Inc ||  Industry (ANZSIC4) code: 9559 || Industry (ANZSIC4) description: Other Interest Group Services n.e.c. || x coordinate: 144.97335 || y coordinate: -37.81384 || Location: (-37.81384, 144.97335) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 38 || Property ID: 102174 || Base Property ID: 102174 || CLUE small area: Melbourne (CBD) ||  Trading Name: John Gribble Architects ||  Industry (ANZSIC4) code: 6921 || Industry (ANZSIC4) description: Architectural Services || x coordinate: 144.97355 || y coordinate: -37.81305 || Location: (-37.81305, 144.97355) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 38 || Property ID: 102174 || Base Property ID: 102174 || CLUE small area: Melbourne (CBD) ||  Trading Name: Karenlee Nominees Pty Ltd ||  Industry (ANZSIC4) code: 3211 || Industry (ANZSIC4) description: Land Development and Subdivision || x coordinate: 144.97355 || y coordinate: -37.81305 || Location: (-37.81305, 144.97355) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 28 || Property ID: 102057 || Base Property ID: 102057 || CLUE small area: Melbourne (CBD) ||  Trading Name: Weir Minerals Australia ||  Industry (ANZSIC4) code: 3419 || Industry (ANZSIC4) description: Other Specialised Industrial Machinery and Equipment Wholesaling || x coordinate: 144.97372 || y coordinate: -37.81372 || Location: (-37.81372, 144.97372) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 28 || Property ID: 102057 || Base Property ID: 102057 || CLUE small area: Melbourne (CBD) ||  Trading Name: Myxplor Pty Ltd ||  Industry (ANZSIC4) code: 5420 || Industry (ANZSIC4) description: Software Publishing || x coordinate: 144.97372 || y coordinate: -37.81372 || Location: (-37.81372, 144.97372) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 18 || Property ID: 108976 || Base Property ID: 108976 || CLUE small area: Melbourne (CBD) ||  Trading Name: Mercure Hotel ||  Industry (ANZSIC4) code: 4400 || Industry (ANZSIC4) description: Accommodation || x coordinate: 144.9742 || y coordinate: -37.81477 || Location: (-37.81477, 144.9742) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 233 || Property ID: 106942 || Base Property ID: 107153 || CLUE small area: Carlton ||  Trading Name: Vacant ||  Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.97444 || y coordinate: -37.79731 || Location: (-37.79731, 144.97444) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 233 || Property ID: 103164 || Base Property ID: 107153 || CLUE small area: Carlton ||  Trading Name: Vacant ||  Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.97444 || y coordinate: -37.79731 || Location: (-37.79731, 144.97444) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 235 || Property ID: 106941 || Base Property ID: 106941 || CLUE small area: Carlton ||  Trading Name: Austrian Consulate-General ||  Industry (ANZSIC4) code: 7552 || Industry (ANZSIC4) description: Foreign Government Representation || x coordinate: 144.97448 || y coordinate: -37.79865 || Location: (-37.79865, 144.97448) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 230 || Property ID: 106969 || Base Property ID: 106969 || CLUE small area: Carlton ||  Trading Name: French Lettuce ||  Industry (ANZSIC4) code: 4512 || Industry (ANZSIC4) description: Takeaway Food Services || x coordinate: 144.97513 || y coordinate: -37.7944 || Location: (-37.7944, 144.97513) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 230 || Property ID: 106969 || Base Property ID: 106969 || CLUE small area: Carlton ||  Trading Name: Maric Goya Natural Therapies ||  Industry (ANZSIC4) code: 8539 || Industry (ANZSIC4) description: Other Allied Health Services || x coordinate: 144.97513 || y coordinate: -37.7944 || Location: (-37.7944, 144.97513) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 230 || Property ID: 106980 || Base Property ID: 106980 || CLUE small area: Carlton ||  Trading Name: National Lube Carlton ||  Industry (ANZSIC4) code: 4000 || Industry (ANZSIC4) description: Fuel Retailing || x coordinate: 144.97535 || y coordinate: -37.79327 || Location: (-37.79327, 144.97535) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 230 || Property ID: 106980 || Base Property ID: 106980 || CLUE small area: Carlton ||  Trading Name: Celepci Brothers ||  Industry (ANZSIC4) code: 9411 || Industry (ANZSIC4) description: Automotive Electrical Services || x coordinate: 144.97535 || y coordinate: -37.79327 || Location: (-37.79327, 144.97535) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 613 || Property ID: 595153 || Base Property ID: 109643 || CLUE small area: East Melbourne ||  Trading Name: Cohen Cellars Wine Bar ||  Industry (ANZSIC4) code: 4520 || Industry (ANZSIC4) description: Pubs, Taverns and Bars || x coordinate: 144.98562 || y coordinate: -37.81005 || Location: (-37.81005, 144.98562) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 613 || Property ID: 593697 || Base Property ID: 109643 || CLUE small area: East Melbourne ||  Trading Name: Gourmet Pizza Bar ||  Industry (ANZSIC4) code: 4511 || Industry (ANZSIC4) description: Cafes and Restaurants || x coordinate: 144.98562 || y coordinate: -37.81005 || Location: (-37.81005, 144.98562) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 601 || Property ID: 109604 || Base Property ID: 109604 || CLUE small area: East Melbourne ||  Trading Name: The Catholic Leadship Centre ||  Industry (ANZSIC4) code: 9540 || Industry (ANZSIC4) description: Religious Services || x coordinate: 144.99045 || y coordinate: -37.81058 || Location: (-37.81058, 144.99045) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 601 || Property ID: 109604 || Base Property ID: 109604 || CLUE small area: East Melbourne ||  Trading Name: Roman Catholic Church ||  Industry (ANZSIC4) code: 9540 || Industry (ANZSIC4) description: Religious Services || x coordinate: 144.99045 || y coordinate: -37.81058 || Location: (-37.81058, 144.99045) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 602 || Property ID: 104871 || Base Property ID: 104871 || CLUE small area: East Melbourne ||  Trading Name: All Creatures On Hoddle ||  Industry (ANZSIC4) code: 6970 || Industry (ANZSIC4) description: Veterinary Services || x coordinate: 144.99055 || y coordinate: -37.81181 || Location: (-37.81181, 144.99055) ||

144.957670 -37.807620  --> Census year: 2016 || Block ID: 113 || Property ID: 110689 || Base Property ID: 108118 || CLUE small area: China (CBD) ||  Trading Name: Amott Quality Meats ||  Industry (ANZSIC4) code: 4121 || Industry (ANZSIC4) description: Fresh Meat, Fish and Poultry Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762, 144.95767) ||

144.957670 -37.807620  --> Census year: 2018 || Block ID: 113 || Property ID: 110684 || Base Property ID: 108118 || CLUE small area: Melbourne (CBD) ||  Trading Name: Spotty Dot ||  Industry (ANZSIC4) code: 4243 || Industry (ANZSIC4) description: Toy and Game Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762, 144.95767) ||

