144.957670 -37.807620  --> Census year: 2016 || Block ID: 113 || Property ID: 110689 || Base Property ID: 108118 || CLUE small area: China (CBD) ||  Trading Name: Amott Quality Meats ||  Industry (ANZSIC4) code: 4121 || Industry (ANZSIC4) description: Fresh Meat, Fish and Poultry Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762, 144.95767) ||
144.991180 -37.321440  --> Census year: 2018 || Block ID: 571 || Property ID: 602254 || Base Property ID: 602254 || CLUE small area: Kensington ||  Trading Name: Shine Australia ||  Industry (ANZSIC4) code: 5511 || Industry (ANZSIC4) description: Motion Picture and Video Production || x coordinate: 144.90815 || y coordinate: -37.78505 || Location: (-37.78505, 144.90815) ||

144.971180 -37.556460  --> Census year: 2018 || Block ID: 571 || Property ID: 602254 || Base Property ID: 602254 || CLUE small area: Kensington ||  Trading Name: Shine Australia ||  Industry (ANZSIC4) code: 5511 || Industry (ANZSIC4) description: Motion Picture and Video Production || x coordinate: 144.90815 || y coordinate: -37.78505 || Location: (-37.78505, 144.90815) ||

144.969980 -36.754550  --> Census year: 2018 || Block ID: 571 || Property ID: 602254 || Base Property ID: 602254 || CLUE small area: Kensington ||  Trading Name: Shine Australia ||  Industry (ANZSIC4) code: 5511 || Industry (ANZSIC4) description: Motion Picture and Video Production || x coordinate: 144.90815 || y coordinate: -37.78505 || Location: (-37.78505, 144.90815) ||

144.961990 -37.844570  --> Census year: 2018 || Block ID: 1103 || Property ID: 632898 || Base Property ID: 632898 || CLUE small area: Docklands ||  Trading Name: Medibank Private Limited ||  Industry (ANZSIC4) code: 6321 || Industry (ANZSIC4) description: Health Insurance || x coordinate: 144.94908 || y coordinate: -37.81791 || Location: (-37.81791, 144.94908) ||

144.961990 -37.844570  --> Census year: 2018 || Block ID: 1103 || Property ID: 632898 || Base Property ID: 632898 || CLUE small area: Docklands ||  Trading Name: Direct Mail And Marketing International Pty Ltd ||  Industry (ANZSIC4) code: 7000 || Industry (ANZSIC4) description: Computer System Design and Related Services || x coordinate: 144.94908 || y coordinate: -37.81791 || Location: (-37.81791, 144.94908) ||

